,Date,Time,Station_Name,Station_No,Entry,Exit,Net_Traffic,Year,Month,Day,Hour,Weekday,Is_Holiday
0,2020-08-01,03:00 - 03:59,North Ave,0,0,0,0,2020,8,1,3,5,False
1,2020-08-01,03:00 - 03:59,Quezon Ave,1,0,0,0,2020,8,1,3,5,False
2,2020-08-01,03:00 - 03:59,GMA Kamuning,2,0,0,0,2020,8,1,3,5,False
3,2020-08-01,03:00 - 03:59,Cubao,3,0,0,0,2020,8,1,3,5,False
4,2020-08-01,03:00 - 03:59,Santolan,4,0,0,0,2020,8,1,3,5,False
5,2020-08-01,03:00 - 03:59,Ortigas,5,0,0,0,2020,8,1,3,5,False
6,2020-08-01,03:00 - 03:59,Shaw Blvd,6,0,0,0,2020,8,1,3,5,False
7,2020-08-01,03:00 - 03:59,Boni Ave,7,0,0,0,2020,8,1,3,5,False
8,2020-08-01,03:00 - 03:59,Guadalupe,8,0,0,0,2020,8,1,3,5,False
9,2020-08-01,03:00 - 03:59,Buendia,9,0,0,0,2020,8,1,3,5,False
10,2020-08-01,03:00 - 03:59,Ayala Ave,10,0,0,0,2020,8,1,3,5,False
11,2020-08-01,03:00 - 03:59,Magallanes,11,0,0,0,2020,8,1,3,5,False
12,2020-08-01,03:00 - 03:59,Taft,12,0,0,0,2020,8,1,3,5,False
13,2020-08-01,04:00 - 04:59,North Ave,0,71,0,71,2020,8,1,4,5,False
14,2020-08-01,04:00 - 04:59,Quezon Ave,1,75,1,76,2020,8,1,4,5,False
15,2020-08-01,04:00 - 04:59,GMA Kamuning,2,134,0,134,2020,8,1,4,5,False
16,2020-08-01,04:00 - 04:59,Cubao,3,93,9,102,2020,8,1,4,5,False
17,2020-08-01,04:00 - 04:59,Santolan,4,6,5,11,2020,8,1,4,5,False
18,2020-08-01,04:00 - 04:59,Ortigas,5,2,0,2,2020,8,1,4,5,False
19,2020-08-01,04:00 - 04:59,Shaw Blvd,6,18,0,18,2020,8,1,4,5,False
20,2020-08-01,04:00 - 04:59,Boni Ave,7,9,0,9,2020,8,1,4,5,False
21,2020-08-01,04:00 - 04:59,Guadalupe,8,5,0,5,2020,8,1,4,5,False
22,2020-08-01,04:00 - 04:59,Buendia,9,0,0,0,2020,8,1,4,5,False
23,2020-08-01,04:00 - 04:59,Ayala Ave,10,0,0,0,2020,8,1,4,5,False
24,2020-08-01,04:00 - 04:59,Magallanes,11,0,0,0,2020,8,1,4,5,False
25,2020-08-01,04:00 - 04:59,Taft,12,0,0,0,2020,8,1,4,5,False
26,2020-08-01,05:00 - 05:59,North Ave,0,250,0,250,2020,8,1,5,5,False
27,2020-08-01,05:00 - 05:59,Quezon Ave,1,149,2,151,2020,8,1,5,5,False
28,2020-08-01,05:00 - 05:59,GMA Kamuning,2,284,6,290,2020,8,1,5,5,False
29,2020-08-01,05:00 - 05:59,Cubao,3,244,65,309,2020,8,1,5,5,False
30,2020-08-01,05:00 - 05:59,Santolan,4,24,22,46,2020,8,1,5,5,False
31,2020-08-01,05:00 - 05:59,Ortigas,5,59,99,158,2020,8,1,5,5,False
32,2020-08-01,05:00 - 05:59,Shaw Blvd,6,174,205,379,2020,8,1,5,5,False
33,2020-08-01,05:00 - 05:59,Boni Ave,7,115,210,325,2020,8,1,5,5,False
34,2020-08-01,05:00 - 05:59,Guadalupe,8,110,86,196,2020,8,1,5,5,False
35,2020-08-01,05:00 - 05:59,Buendia,9,19,37,56,2020,8,1,5,5,False
36,2020-08-01,05:00 - 05:59,Ayala Ave,10,72,111,183,2020,8,1,5,5,False
37,2020-08-01,05:00 - 05:59,Magallanes,11,151,64,215,2020,8,1,5,5,False
38,2020-08-01,05:00 - 05:59,Taft,12,266,179,445,2020,8,1,5,5,False
39,2020-08-01,06:00 - 06:59,North Ave,0,361,159,520,2020,8,1,6,5,False
40,2020-08-01,06:00 - 06:59,Quezon Ave,1,219,121,340,2020,8,1,6,5,False
41,2020-08-01,06:00 - 06:59,GMA Kamuning,2,345,158,503,2020,8,1,6,5,False
42,2020-08-01,06:00 - 06:59,Cubao,3,439,372,811,2020,8,1,6,5,False
43,2020-08-01,06:00 - 06:59,Santolan,4,43,106,149,2020,8,1,6,5,False
44,2020-08-01,06:00 - 06:59,Ortigas,5,119,213,332,2020,8,1,6,5,False
45,2020-08-01,06:00 - 06:59,Shaw Blvd,6,276,344,620,2020,8,1,6,5,False
46,2020-08-01,06:00 - 06:59,Boni Ave,7,194,190,384,2020,8,1,6,5,False
47,2020-08-01,06:00 - 06:59,Guadalupe,8,188,181,369,2020,8,1,6,5,False
48,2020-08-01,06:00 - 06:59,Buendia,9,14,78,92,2020,8,1,6,5,False
49,2020-08-01,06:00 - 06:59,Ayala Ave,10,158,221,379,2020,8,1,6,5,False
50,2020-08-01,06:00 - 06:59,Magallanes,11,217,104,321,2020,8,1,6,5,False
51,2020-08-01,06:00 - 06:59,Taft,12,335,371,706,2020,8,1,6,5,False
52,2020-08-01,07:00 - 07:59,North Ave,0,498,249,747,2020,8,1,7,5,False
53,2020-08-01,07:00 - 07:59,Quezon Ave,1,271,182,453,2020,8,1,7,5,False
54,2020-08-01,07:00 - 07:59,GMA Kamuning,2,356,189,545,2020,8,1,7,5,False
55,2020-08-01,07:00 - 07:59,Cubao,3,511,388,899,2020,8,1,7,5,False
56,2020-08-01,07:00 - 07:59,Santolan,4,66,117,183,2020,8,1,7,5,False
57,2020-08-01,07:00 - 07:59,Ortigas,5,144,309,453,2020,8,1,7,5,False
