,Date,Time,Station_Name,Station_No,Entry,Exit,Net_Traffic,Year,Month,Day,Hour,Weekday,Is_Holiday
58,2020-08-01,07:00 - 07:59,Shaw Blvd,6,321,463,784,2020,8,1,7,5,False
59,2020-08-01,07:00 - 07:59,Boni Ave,7,235,177,412,2020,8,1,7,5,False
60,2020-08-01,07:00 - 07:59,Guadalupe,8,266,197,463,2020,8,1,7,5,False
61,2020-08-01,07:00 - 07:59,Buendia,9,43,87,130,2020,8,1,7,5,False
62,2020-08-01,07:00 - 07:59,Ayala Ave,10,180,344,524,2020,8,1,7,5,False
63,2020-08-01,07:00 - 07:59,Magallanes,11,220,183,403,2020,8,1,7,5,False
64,2020-08-01,07:00 - 07:59,Taft,12,433,372,805,2020,8,1,7,5,False
65,2020-08-01,08:00 - 08:59,North Ave,0,501,356,857,2020,8,1,8,5,False
66,2020-08-01,08:00 - 08:59,Quezon Ave,1,285,179,464,2020,8,1,8,5,False
67,2020-08-01,08:00 - 08:59,GMA Kamuning,2,396,150,546,2020,8,1,8,5,False
68,2020-08-01,08:00 - 08:59,Cubao,3,567,460,1027,2020,8,1,8,5,False
69,2020-08-01,08:00 - 08:59,Santolan,4,85,121,206,2020,8,1,8,5,False
70,2020-08-01,08:00 - 08:59,Ortigas,5,109,376,485,2020,8,1,8,5,False
71,2020-08-01,08:00 - 08:59,Shaw Blvd,6,369,529,898,2020,8,1,8,5,False
72,2020-08-01,08:00 - 08:59,Boni Ave,7,246,193,439,2020,8,1,8,5,False
73,2020-08-01,08:00 - 08:59,Guadalupe,8,355,275,630,2020,8,1,8,5,False
74,2020-08-01,08:00 - 08:59,Buendia,9,32,66,98,2020,8,1,8,5,False
75,2020-08-01,08:00 - 08:59,Ayala Ave,10,180,416,596,2020,8,1,8,5,False
76,2020-08-01,08:00 - 08:59,Magallanes,11,189,146,335,2020,8,1,8,5,False
77,2020-08-01,08:00 - 08:59,Taft,12,447,365,812,2020,8,1,8,5,False
78,2020-08-01,09:00 - 09:59,North Ave,0,430,464,894,2020,8,1,9,5,False
79,2020-08-01,09:00 - 09:59,Quezon Ave,1,287,171,458,2020,8,1,9,5,False
80,2020-08-01,09:00 - 09:59,GMA Kamuning,2,343,136,479,2020,8,1,9,5,False
81,2020-08-01,09:00 - 09:59,Cubao,3,563,487,1050,2020,8,1,9,5,False
82,2020-08-01,09:00 - 09:59,Santolan,4,80,107,187,2020,8,1,9,5,False
83,2020-08-01,09:00 - 09:59,Ortigas,5,100,373,473,2020,8,1,9,5,False
84,2020-08-01,09:00 - 09:59,Shaw Blvd,6,370,591,961,2020,8,1,9,5,False
85,2020-08-01,09:00 - 09:59,Boni Ave,7,269,157,426,2020,8,1,9,5,False
86,2020-08-01,09:00 - 09:59,Guadalupe,8,361,204,565,2020,8,1,9,5,False
87,2020-08-01,09:00 - 09:59,Buendia,9,28,43,71,2020,8,1,9,5,False
88,2020-08-01,09:00 - 09:59,Ayala Ave,10,167,461,628,2020,8,1,9,5,False
89,2020-08-01,09:00 - 09:59,Magallanes,11,163,99,262,2020,8,1,9,5,False
90,2020-08-01,09:00 - 09:59,Taft,12,421,334,755,2020,8,1,9,5,False
91,2020-08-01,10:00 - 10:59,North Ave,0,308,326,634,2020,8,1,10,5,False
92,2020-08-01,10:00 - 10:59,Quezon Ave,1,178,126,304,2020,8,1,10,5,False
93,2020-08-01,10:00 - 10:59,GMA Kamuning,2,255,121,376,2020,8,1,10,5,False
94,2020-08-01,10:00 - 10:59,Cubao,3,372,422,794,2020,8,1,10,5,False
95,2020-08-01,10:00 - 10:59,Santolan,4,62,106,168,2020,8,1,10,5,False
96,2020-08-01,10:00 - 10:59,Ortigas,5,110,336,446,2020,8,1,10,5,False
97,2020-08-01,10:00 - 10:59,Shaw Blvd,6,275,547,822,2020,8,1,10,5,False
98,2020-08-01,10:00 - 10:59,Boni Ave,7,202,176,378,2020,8,1,10,5,False
99,2020-08-01,10:00 - 10:59,Guadalupe,8,304,172,476,2020,8,1,10,5,False
100,2020-08-01,10:00 - 10:59,Buendia,9,24,37,61,2020,8,1,10,5,False
101,2020-08-01,10:00 - 10:59,Ayala Ave,10,193,357,550,2020,8,1,10,5,False
102,2020-08-01,10:00 - 10:59,Magallanes,11,116,92,208,2020,8,1,10,5,False
103,2020-08-01,10:00 - 10:59,Taft,12,357,397,754,2020,8,1,10,5,False
104,2020-08-01,11:00 - 11:59,North Ave,0,198,270,468,2020,8,1,11,5,False
105,2020-08-01,11:00 - 11:59,Quezon Ave,1,117,158,275,2020,8,1,11,5,False
106,2020-08-01,11:00 - 11:59,GMA Kamuning,2,210,135,345,2020,8,1,11,5,False
107,2020-08-01,11:00 - 11:59,Cubao,3,308,342,650,2020,8,1,11,5,False
108,2020-08-01,11:00 - 11:59,Santolan,4,57,53,110,2020,8,1,11,5,False
109,2020-08-01,11:00 - 11:59,Ortigas,5,113,178,291,2020,8,1,11,5,False
110,2020-08-01,11:00 - 11:59,Shaw Blvd,6,251,312,563,2020,8,1,11,5,False
111,2020-08-01,11:00 - 11:59,Boni Ave,7,179,136,315,2020,8,1,11,5,False
112,2020-08-01,11:00 - 11:59,Guadalupe,8,228,181,409,2020,8,1,11,5,False
113,2020-08-01,11:00 - 11:59,Buendia,9,36,49,85,2020,8,1,11,5,False
114,2020-08-01,11:00 - 11:59,Ayala Ave,10,145,295,440,2020,8,1,11,5,False
115,2020-08-01,11:00 - 11:59,Magallanes,11,89,87,176,2020,8,1,11,5,False
116,2020-08-01,11:00 - 11:59,Taft,12,315,383,698,2020,8,1,11,5,False
117,2020-08-01,12:00 - 12:59,North Ave,0,195,313,508,2020,8,1,12,5,False
118,2020-08-01,12:00 - 12:59,Quezon Ave,1,126,177,303,2020,8,1,12,5,False
119,2020-08-01,12:00 - 12:59,GMA Kamuning,2,213,132,345,2020,8,1,12,5,False
120,2020-08-01,12:00 - 12:59,Cubao,3,333,357,690,2020,8,1,12,5,False
121,2020-08-01,12:00 - 12:59,Santolan,4,65,46,111,2020,8,1,12,5,False
122,2020-08-01,12:00 - 12:59,Ortigas,5,152,120,272,2020,8,1,12,5,False
123,2020-08-01,12:00 - 12:59,Shaw Blvd,6,302,286,588,2020,8,1,12,5,False
124,2020-08-01,12:00 - 12:59,Boni Ave,7,182,112,294,2020,8,1,12,5,False
125,2020-08-01,12:00 - 12:59,Guadalupe,8,229,160,389,2020,8,1,12,5,False
126,2020-08-01,12:00 - 12:59,Buendia,9,30,22,52,2020,8,1,12,5,False
127,2020-08-01,12:00 - 12:59,Ayala Ave,10,214,225,439,2020,8,1,12,5,False
128,2020-08-01,12:00 - 12:59,Magallanes,11,106,98,204,2020,8,1,12,5,False
129,2020-08-01,12:00 - 12:59,Taft,12,281,357,638,2020,8,1,12,5,False
130,2020-08-01,13:00 - 13:59,North Ave,0,210,302,512,2020,8,1,13,5,False
131,2020-08-01,13:00 - 13:59,Quezon Ave,1,118,232,350,2020,8,1,13,5,False
132,2020-08-01,13:00 - 13:59,GMA Kamuning,2,188,161,349,2020,8,1,13,5,False
133,2020-08-01,13:00 - 13:59,Cubao,3,357,370,727,2020,8,1,13,5,False
134,2020-08-01,13:00 - 13:59,Santolan,4,54,37,91,2020,8,1,13,5,False
135,2020-08-01,13:00 - 13:59,Ortigas,5,106,113,219,2020,8,1,13,5,False
136,2020-08-01,13:00 - 13:59,Shaw Blvd,6,247,194,441,2020,8,1,13,5,False
137,2020-08-01,13:00 - 13:59,Boni Ave,7,155,132,287,2020,8,1,13,5,False
138,2020-08-01,13:00 - 13:59,Guadalupe,8,200,158,358,2020,8,1,13,5,False
139,2020-08-01,13:00 - 13:59,Buendia,9,31,29,60,2020,8,1,13,5,False
140,2020-08-01,13:00 - 13:59,Ayala Ave,10,146,175,321,2020,8,1,13,5,False
141,2020-08-01,13:00 - 13:59,Magallanes,11,104,61,165,2020,8,1,13,5,False
142,2020-08-01,13:00 - 13:59,Taft,12,291,348,639,2020,8,1,13,5,False
143,2020-08-01,14:00 - 14:59,North Ave,0,215,280,495,2020,8,1,14,5,False
144,2020-08-01,14:00 - 14:59,Quezon Ave,1,78,152,230,2020,8,1,14,5,False
145,2020-08-01,14:00 - 14:59,GMA Kamuning,2,154,140,294,2020,8,1,14,5,False
146,2020-08-01,14:00 - 14:59,Cubao,3,332,333,665,2020,8,1,14,5,False
147,2020-08-01,14:00 - 14:59,Santolan,4,41,33,74,2020,8,1,14,5,False
148,2020-08-01,14:00 - 14:59,Ortigas,5,110,93,203,2020,8,1,14,5,False
149,2020-08-01,14:00 - 14:59,Shaw Blvd,6,259,191,450,2020,8,1,14,5,False
150,2020-08-01,14:00 - 14:59,Boni Ave,7,174,86,260,2020,8,1,14,5,False
151,2020-08-01,14:00 - 14:59,Guadalupe,8,148,159,307,2020,8,1,14,5,False
152,2020-08-01,14:00 - 14:59,Buendia,9,46,14,60,2020,8,1,14,5,False
153,2020-08-01,14:00 - 14:59,Ayala Ave,10,175,168,343,2020,8,1,14,5,False
154,2020-08-01,14:00 - 14:59,Magallanes,11,101,56,157,2020,8,1,14,5,False
155,2020-08-01,14:00 - 14:59,Taft,12,262,366,628,2020,8,1,14,5,False
156,2020-08-01,15:00 - 15:59,North Ave,0,218,321,539,2020,8,1,15,5,False
157,2020-08-01,15:00 - 15:59,Quezon Ave,1,97,213,310,2020,8,1,15,5,False
158,2020-08-01,15:00 - 15:59,GMA Kamuning,2,185,234,419,2020,8,1,15,5,False
159,2020-08-01,15:00 - 15:59,Cubao,3,397,373,770,2020,8,1,15,5,False
160,2020-08-01,15:00 - 15:59,Santolan,4,73,27,100,2020,8,1,15,5,False
161,2020-08-01,15:00 - 15:59,Ortigas,5,209,115,324,2020,8,1,15,5,False
162,2020-08-01,15:00 - 15:59,Shaw Blvd,6,362,236,598,2020,8,1,15,5,False
163,2020-08-01,15:00 - 15:59,Boni Ave,7,242,171,413,2020,8,1,15,5,False
164,2020-08-01,15:00 - 15:59,Guadalupe,8,210,163,373,2020,8,1,15,5,False
165,2020-08-01,15:00 - 15:59,Buendia,9,62,19,81,2020,8,1,15,5,False
166,2020-08-01,15:00 - 15:59,Ayala Ave,10,234,224,458,2020,8,1,15,5,False
167,2020-08-01,15:00 - 15:59,Magallanes,11,152,78,230,2020,8,1,15,5,False
168,2020-08-01,15:00 - 15:59,Taft,12,391,396,787,2020,8,1,15,5,False
169,2020-08-01,16:00 - 16:59,North Ave,0,307,361,668,2020,8,1,16,5,False
170,2020-08-01,16:00 - 16:59,Quezon Ave,1,142,277,419,2020,8,1,16,5,False
171,2020-08-01,16:00 - 16:59,GMA Kamuning,2,203,454,657,2020,8,1,16,5,False
172,2020-08-01,16:00 - 16:59,Cubao,3,449,567,1016,2020,8,1,16,5,False
173,2020-08-01,16:00 - 16:59,Santolan,4,79,19,98,2020,8,1,16,5,False
174,2020-08-01,16:00 - 16:59,Ortigas,5,294,123,417,2020,8,1,16,5,False
175,2020-08-01,16:00 - 16:59,Shaw Blvd,6,452,291,743,2020,8,1,16,5,False
176,2020-08-01,16:00 - 16:59,Boni Ave,7,331,149,480,2020,8,1,16,5,False
177,2020-08-01,16:00 - 16:59,Guadalupe,8,280,232,512,2020,8,1,16,5,False
178,2020-08-01,16:00 - 16:59,Buendia,9,88,14,102,2020,8,1,16,5,False
179,2020-08-01,16:00 - 16:59,Ayala Ave,10,321,239,560,2020,8,1,16,5,False
180,2020-08-01,16:00 - 16:59,Magallanes,11,204,147,351,2020,8,1,16,5,False
181,2020-08-01,16:00 - 16:59,Taft,12,439,419,858,2020,8,1,16,5,False
182,2020-08-01,17:00 - 17:59,North Ave,0,344,475,819,2020,8,1,17,5,False
183,2020-08-01,17:00 - 17:59,Quezon Ave,1,129,235,364,2020,8,1,17,5,False
184,2020-08-01,17:00 - 17:59,GMA Kamuning,2,234,403,637,2020,8,1,17,5,False
185,2020-08-01,17:00 - 17:59,Cubao,3,623,466,1089,2020,8,1,17,5,False
186,2020-08-01,17:00 - 17:59,Santolan,4,122,20,142,2020,8,1,17,5,False
187,2020-08-01,17:00 - 17:59,Ortigas,5,200,112,312,2020,8,1,17,5,False
188,2020-08-01,17:00 - 17:59,Shaw Blvd,6,420,355,775,2020,8,1,17,5,False
189,2020-08-01,17:00 - 17:59,Boni Ave,7,235,244,479,2020,8,1,17,5,False
190,2020-08-01,17:00 - 17:59,Guadalupe,8,269,281,550,2020,8,1,17,5,False
191,2020-08-01,17:00 - 17:59,Buendia,9,107,23,130,2020,8,1,17,5,False
192,2020-08-01,17:00 - 17:59,Ayala Ave,10,391,223,614,2020,8,1,17,5,False
193,2020-08-01,17:00 - 17:59,Magallanes,11,236,123,359,2020,8,1,17,5,False
194,2020-08-01,17:00 - 17:59,Taft,12,415,453,868,2020,8,1,17,5,False
195,2020-08-01,18:00 - 18:59,North Ave,0,429,391,820,2020,8,1,18,5,False
196,2020-08-01,18:00 - 18:59,Quezon Ave,1,112,310,422,2020,8,1,18,5,False
197,2020-08-01,18:00 - 18:59,GMA Kamuning,2,146,545,691,2020,8,1,18,5,False
198,2020-08-01,18:00 - 18:59,Cubao,3,575,609,1184,2020,8,1,18,5,False
199,2020-08-01,18:00 - 18:59,Santolan,4,116,43,159,2020,8,1,18,5,False
200,2020-08-01,18:00 - 18:59,Ortigas,5,256,108,364,2020,8,1,18,5,False
201,2020-08-01,18:00 - 18:59,Shaw Blvd,6,390,306,696,2020,8,1,18,5,False
202,2020-08-01,18:00 - 18:59,Boni Ave,7,271,214,485,2020,8,1,18,5,False
203,2020-08-01,18:00 - 18:59,Guadalupe,8,269,347,616,2020,8,1,18,5,False
204,2020-08-01,18:00 - 18:59,Buendia,9,36,22,58,2020,8,1,18,5,False
205,2020-08-01,18:00 - 18:59,Ayala Ave,10,527,187,714,2020,8,1,18,5,False
206,2020-08-01,18:00 - 18:59,Magallanes,11,240,161,401,2020,8,1,18,5,False
207,2020-08-01,18:00 - 18:59,Taft,12,364,478,842,2020,8,1,18,5,False
208,2020-08-01,19:00 - 19:59,North Ave,0,414,495,909,2020,8,1,19,5,False
209,2020-08-01,19:00 - 19:59,Quezon Ave,1,77,310,387,2020,8,1,19,5,False
210,2020-08-01,19:00 - 19:59,GMA Kamuning,2,125,610,735,2020,8,1,19,5,False
211,2020-08-01,19:00 - 19:59,Cubao,3,544,670,1214,2020,8,1,19,5,False
212,2020-08-01,19:00 - 19:59,Santolan,4,102,38,140,2020,8,1,19,5,False
213,2020-08-01,19:00 - 19:59,Ortigas,5,335,84,419,2020,8,1,19,5,False
214,2020-08-01,19:00 - 19:59,Shaw Blvd,6,616,300,916,2020,8,1,19,5,False
215,2020-08-01,19:00 - 19:59,Boni Ave,7,193,301,494,2020,8,1,19,5,False
216,2020-08-01,19:00 - 19:59,Guadalupe,8,174,359,533,2020,8,1,19,5,False
217,2020-08-01,19:00 - 19:59,Buendia,9,38,18,56,2020,8,1,19,5,False
218,2020-08-01,19:00 - 19:59,Ayala Ave,10,624,224,848,2020,8,1,19,5,False
219,2020-08-01,19:00 - 19:59,Magallanes,11,167,168,335,2020,8,1,19,5,False
220,2020-08-01,19:00 - 19:59,Taft,12,301,576,877,2020,8,1,19,5,False
221,2020-08-01,20:00 - 20:59,North Ave,0,189,354,543,2020,8,1,20,5,False
222,2020-08-01,20:00 - 20:59,Quezon Ave,1,63,323,386,2020,8,1,20,5,False
223,2020-08-01,20:00 - 20:59,GMA Kamuning,2,59,421,480,2020,8,1,20,5,False
224,2020-08-01,20:00 - 20:59,Cubao,3,187,516,703,2020,8,1,20,5,False
225,2020-08-01,20:00 - 20:59,Santolan,4,72,62,134,2020,8,1,20,5,False
226,2020-08-01,20:00 - 20:59,Ortigas,5,364,64,428,2020,8,1,20,5,False
227,2020-08-01,20:00 - 20:59,Shaw Blvd,6,404,227,631,2020,8,1,20,5,False
228,2020-08-01,20:00 - 20:59,Boni Ave,7,125,172,297,2020,8,1,20,5,False
229,2020-08-01,20:00 - 20:59,Guadalupe,8,144,219,363,2020,8,1,20,5,False
230,2020-08-01,20:00 - 20:59,Buendia,9,22,19,41,2020,8,1,20,5,False
231,2020-08-01,20:00 - 20:59,Ayala Ave,10,471,126,597,2020,8,1,20,5,False
232,2020-08-01,20:00 - 20:59,Magallanes,11,70,79,149,2020,8,1,20,5,False
233,2020-08-01,20:00 - 20:59,Taft,12,183,481,664,2020,8,1,20,5,False
234,2020-08-01,21:00 - 21:59,North Ave,0,7,158,165,2020,8,1,21,5,False
235,2020-08-01,21:00 - 21:59,Quezon Ave,1,6,96,102,2020,8,1,21,5,False
236,2020-08-01,21:00 - 21:59,GMA Kamuning,2,18,119,137,2020,8,1,21,5,False
237,2020-08-01,21:00 - 21:59,Cubao,3,38,122,160,2020,8,1,21,5,False
238,2020-08-01,21:00 - 21:59,Santolan,4,15,9,24,2020,8,1,21,5,False
239,2020-08-01,21:00 - 21:59,Ortigas,5,78,17,95,2020,8,1,21,5,False
240,2020-08-01,21:00 - 21:59,Shaw Blvd,6,72,71,143,2020,8,1,21,5,False
241,2020-08-01,21:00 - 21:59,Boni Ave,7,27,61,88,2020,8,1,21,5,False
242,2020-08-01,21:00 - 21:59,Guadalupe,8,25,101,126,2020,8,1,21,5,False
243,2020-08-01,21:00 - 21:59,Buendia,9,18,7,25,2020,8,1,21,5,False
244,2020-08-01,21:00 - 21:59,Ayala Ave,10,57,36,93,2020,8,1,21,5,False
245,2020-08-01,21:00 - 21:59,Magallanes,11,23,40,63,2020,8,1,21,5,False
246,2020-08-01,21:00 - 21:59,Taft,12,76,213,289,2020,8,1,21,5,False
247,2020-08-01,22:00 - 22:59,North Ave,0,0,40,40,2020,8,1,22,5,False
248,2020-08-01,22:00 - 22:59,Quezon Ave,1,1,26,27,2020,8,1,22,5,False
249,2020-08-01,22:00 - 22:59,GMA Kamuning,2,1,7,8,2020,8,1,22,5,False
250,2020-08-01,22:00 - 22:59,Cubao,3,7,12,19,2020,8,1,22,5,False
251,2020-08-01,22:00 - 22:59,Santolan,4,2,2,4,2020,8,1,22,5,False
252,2020-08-01,22:00 - 22:59,Ortigas,5,8,1,9,2020,8,1,22,5,False
253,2020-08-01,22:00 - 22:59,Shaw Blvd,6,4,5,9,2020,8,1,22,5,False
254,2020-08-01,22:00 - 22:59,Boni Ave,7,5,1,6,2020,8,1,22,5,False
255,2020-08-01,22:00 - 22:59,Guadalupe,8,6,4,10,2020,8,1,22,5,False
256,2020-08-01,22:00 - 22:59,Buendia,9,0,0,0,2020,8,1,22,5,False
257,2020-08-01,22:00 - 22:59,Ayala Ave,10,1,0,1,2020,8,1,22,5,False
258,2020-08-01,22:00 - 22:59,Magallanes,11,2,3,5,2020,8,1,22,5,False
259,2020-08-01,22:00 - 22:59,Taft,12,0,8,8,2020,8,1,22,5,False
260,2020-08-01,23:00 - 23:59,North Ave,0,0,0,0,2020,8,1,23,5,False
261,2020-08-01,23:00 - 23:59,Quezon Ave,1,0,0,0,2020,8,1,23,5,False
262,2020-08-01,23:00 - 23:59,GMA Kamuning,2,0,0,0,2020,8,1,23,5,False
263,2020-08-01,23:00 - 23:59,Cubao,3,0,0,0,2020,8,1,23,5,False
264,2020-08-01,23:00 - 23:59,Santolan,4,0,0,0,2020,8,1,23,5,False
265,2020-08-01,23:00 - 23:59,Ortigas,5,0,0,0,2020,8,1,23,5,False
266,2020-08-01,23:00 - 23:59,Shaw Blvd,6,0,0,0,2020,8,1,23,5,False
267,2020-08-01,23:00 - 23:59,Boni Ave,7,0,0,0,2020,8,1,23,5,False
268,2020-08-01,23:00 - 23:59,Guadalupe,8,0,0,0,2020,8,1,23,5,False
269,2020-08-01,23:00 - 23:59,Buendia,9,0,0,0,2020,8,1,23,5,False
270,2020-08-01,23:00 - 23:59,Ayala Ave,10,0,0,0,2020,8,1,23,5,False
271,2020-08-01,23:00 - 23:59,Magallanes,11,0,0,0,2020,8,1,23,5,False
272,2020-08-01,23:00 - 23:59,Taft,12,0,0,0,2020,8,1,23,5,False
273,2020-08-01,00:00 - 00:59,North Ave,0,0,0,0,2020,8,1,0,5,False
274,2020-08-01,00:00 - 00:59,Quezon Ave,1,0,0,0,2020,8,1,0,5,False
275,2020-08-01,00:00 - 00:59,GMA Kamuning,2,0,0,0,2020,8,1,0,5,False
276,2020-08-01,00:00 - 00:59,Cubao,3,0,0,0,2020,8,1,0,5,False
277,2020-08-01,00:00 - 00:59,Santolan,4,0,0,0,2020,8,1,0,5,False
278,2020-08-01,00:00 - 00:59,Ortigas,5,0,0,0,2020,8,1,0,5,False
279,2020-08-01,00:00 - 00:59,Shaw Blvd,6,0,0,0,2020,8,1,0,5,False
280,2020-08-01,00:00 - 00:59,Boni Ave,7,0,0,0,2020,8,1,0,5,False
281,2020-08-01,00:00 - 00:59,Guadalupe,8,0,0,0,2020,8,1,0,5,False
282,2020-08-01,00:00 - 00:59,Buendia,9,0,0,0,2020,8,1,0,5,False
283,2020-08-01,00:00 - 00:59,Ayala Ave,10,0,0,0,2020,8,1,0,5,False
284,2020-08-01,00:00 - 00:59,Magallanes,11,0,0,0,2020,8,1,0,5,False
285,2020-08-01,00:00 - 00:59,Taft,12,0,0,0,2020,8,1,0,5,False
286,2020-08-01,01:00 - 01:59,North Ave,0,0,0,0,2020,8,1,1,5,False
287,2020-08-01,01:00 - 01:59,Quezon Ave,1,0,0,0,2020,8,1,1,5,False
288,2020-08-01,01:00 - 01:59,GMA Kamuning,2,0,0,0,2020,8,1,1,5,False
289,2020-08-01,01:00 - 01:59,Cubao,3,0,0,0,2020,8,1,1,5,False
290,2020-08-01,01:00 - 01:59,Santolan,4,0,0,0,2020,8,1,1,5,False
291,2020-08-01,01:00 - 01:59,Ortigas,5,0,0,0,2020,8,1,1,5,False
292,2020-08-01,01:00 - 01:59,Shaw Blvd,6,0,0,0,2020,8,1,1,5,False
293,2020-08-01,01:00 - 01:59,Boni Ave,7,0,0,0,2020,8,1,1,5,False
294,2020-08-01,01:00 - 01:59,Guadalupe,8,0,0,0,2020,8,1,1,5,False
295,2020-08-01,01:00 - 01:59,Buendia,9,0,0,0,2020,8,1,1,5,False
296,2020-08-01,01:00 - 01:59,Ayala Ave,10,0,0,0,2020,8,1,1,5,False
297,2020-08-01,01:00 - 01:59,Magallanes,11,0,0,0,2020,8,1,1,5,False
